436,GPNMB,immunomodulators,CSF1_response,filtered out
437,RAC1,immunomodulators,TGFB_score_21050467,filtered out
438,BRIP1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
439,RTP4,immunomodulators,Module3_IFN_score,filtered out
440,ACTL6A,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
441,TRA2B,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
442,IMP4,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
443,SMC2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
444,TLR2,immunomodulators,CSF1_response,filtered out
445,GGH,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
446,DDX60,immunomodulators,Module3_IFN_score,filtered out
447,CASP1,immunomodulators,CSF1_response,filtered out
448,CCBL2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
449,IFI44L,immunomodulators,Module3_IFN_score,filtered out
450,IFI44,immunomodulators,Module3_IFN_score,filtered out
451,CENPO,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
452,COX17,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
453,HERC6,immunomodulators,Module3_IFN_score,filtered out
454,HERC5,immunomodulators,Module3_IFN_score,filtered out
455,GSTCD,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
456,BRCA2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
457,TPM1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
458,ARRB2,immunomodulators,CSF1_response,filtered out
459,ARHGDIA,immunomodulators,TGFB_score_21050467,filtered out
460,IGFBP4,immunomodulators,TGFB_score_21050467,filtered out
461,COL6A1,immunomodulators,TGFB_score_21050467,filtered out
462,MYO1F,immunomodulators,CSF1_response,filtered out
463,EPHA2,immunomodulators,TGFB_score_21050467,filtered out
464,PLK4,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
465,HSPG2,immunomodulators,TGFB_score_21050467,filtered out
466,CD53,immunomodulators,CSF1_response,filtered out
467,FCGR2A,immunomodulators,CSF1_response,filtered out
468,TPM3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
469,RHOB,immunomodulators,TGFB_score_21050467,filtered out
470,TPRKB,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
471,COL8A1,immunomodulators,TGFB_score_21050467,filtered out
472,NCEH1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
473,LYAR,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
474,LHFPL2,immunomodulators,CSF1_response,filtered out
475,RMND5B,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
476,DYNLT1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
477,IGFBP3,immunomodulators,TGFB_score_21050467,filtered out
478,MSN,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
479,MRPS28,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
